0,100000,366890,38.64,14.58,0.02
100000,200000,483823,202.00,88.89,0.02
200000,300000,539408,265.97,115.00,0.02
300000,400000,581001,334.94,139.00,0.02
400000,500000,609045,402.94,163.00,0.02
500000,600000,635304,470.94,188.00,0.02
600000,700000,656074,537.94,212.00,0.02
700000,800000,673002,604.94,236.00,0.02
800000,900000,686293,668.94,261.00,0.02
900000,1000000,700905,733.94,286.00,0.02
1000000,1100000,715636,797.94,309.00,0.02
1100000,1200000,725810,860.94,335.00,0.02
1200000,1300000,739491,921.94,360.00,0.02
1300000,1400000,774876,985.94,384.00,0.02
1400000,1500000,780676,1047.94,407.00,0.02
1500000,1600000,785364,1110.94,430.00,0.02
1600000,1700000,789430,1171.94,454.00,0.02
1700000,1800000,789266,1233.94,477.00,0.02
1800000,1900000,803536,1294.94,501.00,0.02
1900000,2000000,803915,1356.94,523.00,0.02
2000000,2100000,806197,1416.94,547.00,0.02
2100000,2200000,815171,1477.94,570.00,0.02
2200000,2300000,823121,1539.94,593.00,0.02
2300000,2400000,823808,1599.94,616.00,0.02
2400000,2500000,841541,1659.94,640.00,0.02
2500000,2600000,852701,1720.94,663.00,0.02
2600000,2700000,855868,1781.94,686.00,0.02
2700000,2800000,861012,1844.94,709.00,0.02
2800000,2900000,863839,1903.94,732.00,0.02
2900000,3000000,887028,1964.94,755.00,0.02
3000000,3100000,872950,2021.94,778.98,0.02
3100000,3200000,875706,2081.94,801.97,0.02
3200000,3300000,883180,2142.94,825.97,0.02
3300000,3400000,890888,2204.94,849.95,0.02
3400000,3500000,891257,2263.94,873.95,0.02
3500000,3600000,894626,2322.94,896.95,0.02
3600000,3700000,896476,2382.94,918.95,0.02
3700000,3800000,903335,2443.94,941.95,0.02
3800000,3900000,909190,2503.94,964.95,0.02
3900000,4000000,925075,2565.94,987.95,0.02
4000000,4100000,923792,2624.94,1010.95,0.02
4100000,4200000,927949,2684.94,1032.95,0.02
4200000,4300000,929822,2745.94,1054.95,0.02
4300000,4400000,929588,2806.94,1075.95,0.02
4400000,4500000,936029,2867.94,1099.95,0.02
4500000,4600000,947165,2926.94,1122.95,0.02
4600000,4700000,962434,2986.92,1145.95,0.02
4700000,4800000,949901,3045.92,1168.95,0.02
4800000,4900000,958225,3104.92,1191.95,0.02
4900000,5000000,973068,3166.92,1214.95,0.02
5000000,5100000,970305,3225.92,1238.95,0.02
5100000,5200000,976395,3284.92,1262.95,0.02
5200000,5300000,991216,3343.92,1286.95,0.02
